Date,Total
12/11/2017,4818
12/12/2017,4809
12/13/2017,4899
12/14/2017,4622
12/15/2017,4278
12/16/2017,4049
12/17/2017,3532
12/18/2017,4518
12/19/2017,4269
12/20/2017,3836
12/21/2017,3423
12/22/2017,3077
12/23/2017,2627
12/24/2017,1284
12/25/2017,443
12/26/2017,1328
12/27/2017,2115
12/28/2017,1662
12/29/2017,1574
12/30/2017,1412
12/31/2017,1031
1/1/2018,1101
1/2/2018,1448
1/3/2018,1480
1/4/2018,1386
1/5/2018,1313
1/6/2018,1289
1/7/2018,1170
1/8/2018,1529
1/9/2018,1366
1/10/2018,1344
1/11/2018,1289
1/12/2018,1119
1/13/2018,875
1/14/2018,917
1/15/2018,1083
1/16/2018,1121
1/17/2018,1103
1/18/2018,1144
1/19/2018,1033
1/20/2018,789
1/21/2018,883
1/22/2018,1072
1/23/2018,985
1/24/2018,939
1/25/2018,919
1/26/2018,726
1/27/2018,764
1/28/2018,796
1/29/2018,1133
1/30/2018,1020
1/31/2018,1104
2/1/2018,974
2/2/2018,659
2/3/2018,723
2/4/2018,685
2/5/2018,745
2/6/2018,827
2/7/2018,923
2/8/2018,916
2/9/2018,832
2/10/2018,714
2/11/2018,791
2/12/2018,1077
2/13/2018,961
2/14/2018,939
2/15/2018,989
2/16/2018,848
2/17/2018,769
2/18/2018,782
2/19/2018,939
2/20/2018,850
2/21/2018,856
2/22/2018,780
2/23/2018,692
2/24/2018,642
2/25/2018,739
2/26/2018,968
2/27/2018,966
2/28/2018,992
3/1/2018,829
3/2/2018,774
3/3/2018,759
3/4/2018,799
3/5/2018,999
3/6/2018,1048
3/7/2018,1088
3/8/2018,1040
3/9/2018,1021
3/10/2018,1009
3/11/2018,869
3/12/2018,1095
3/13/2018,1017
3/14/2018,924
3/15/2018,752
3/16/2018,803
3/17/2018,749
3/18/2018,833
3/19/2018,976
3/20/2018,928
3/21/2018,990
3/22/2018,865
3/23/2018,737
3/24/2018,697
3/25/2018,891
3/26/2018,1006
3/27/2018,864
3/28/2018,887
3/29/2018,784
3/30/2018,713
3/31/2018,687
4/1/2018,631
4/2/2018,957
4/3/2018,991
4/4/2018,929
4/5/2018,793
4/6/2018,712
4/7/2018,747
4/8/2018,938
4/9/2018,1045
4/10/2018,1037
4/11/2018,990
4/12/2018,854
4/13/2018,835
4/14/2018,783
4/15/2018,1064
4/16/2018,1236
4/17/2018,1237
4/18/2018,1217
4/19/2018,979
4/20/2018,905
4/21/2018,756
4/22/2018,891
4/23/2018,1085
4/24/2018,1078
4/25/2018,1072
4/26/2018,1079
4/27/2018,964
4/28/2018,953
4/29/2018,1097
4/30/2018,1268
5/1/2018,1165
5/2/2018,1163
5/3/2018,1181
5/4/2018,970
5/5/2018,774
5/6/2018,815
5/7/2018,1111
5/8/2018,1064
5/9/2018,1195
5/10/2018,1174
5/11/2018,1059
5/12/2018,1022
5/13/2018,847
5/14/2018,1237
5/15/2018,1089
5/16/2018,1027
5/17/2018,914
5/18/2018,973
5/19/2018,715
5/20/2018,672
5/21/2018,990
5/22/2018,1010
5/23/2018,1081
5/24/2018,979
5/25/2018,823
5/26/2018,779
5/27/2018,680
5/28/2018,826
5/29/2018,1114
5/30/2018,1251
5/31/2018,1186
6/1/2018,943
6/2/2018,765
6/3/2018,777
6/4/2018,1044
6/5/2018,1188
6/6/2018,1169
6/7/2018,1083
6/8/2018,1078
6/9/2018,809
6/10/2018,834
6/11/2018,1185
6/12/2018,1185
6/13/2018,1172
6/14/2018,1040
6/15/2018,970
6/16/2018,846
6/17/2018,783
6/18/2018,1066
6/19/2018,1823
6/20/2018,2063
6/21/2018,1063
6/22/2018,885
6/23/2018,735
6/24/2018,789
6/25/2018,1034
6/26/2018,1056
6/27/2018,1091
6/28/2018,1063
6/29/2018,1003
6/30/2018,807
,
,
